z6-00912_Timestamps,Water Content m³/m³ TEROS 12 P1,Soil Temperature °C TEROS 12 P1,Saturation Extract EC mS/cm TEROS 12 P1,Water Content m³/m³ TEROS 12 P2,Soil Temperature °C TEROS 12 P2,Saturation Extract EC mS/cm TEROS 12 P2,Water Content m³/m³ TEROS 12 P3,Soil Temperature °C TEROS 12 P3,Saturation Extract EC mS/cm TEROS 12 P3,Matric Potential kPa TEROS 21 P4,Soil Temperature °C TEROS 21 P4,Matric Potential kPa TEROS 21 P5,Soil Temperature °C TEROS 21 P5,Target Temperature °C SI-411 P6,Body Temperature °C SI-411 P6,Battery Percent% Battery P7,Battery Voltage mV Battery P7,Reference Pressure kPa Barometer P8,Logger Temperature °C Barometer P8
2018-06-07 16:00:00,0.191,22.9,0.002,0.132,24.6,0.002,0.302,18.0,0.013999999999999999,-13.3,23.2,-12.9,21.9,33.88,30.78,100,8007,82.56,29.2
2018-06-07 16:15:00,0.191,21.7,0.002,0.132,22.4,0.002,0.302,17.6,0.013999999999999999,-14.1,21.5,-13.9,20.4,36.85,29.41,100,8004,82.55,29.2
2018-06-07 16:30:00,0.191,21.1,0.002,0.132,20.9,0.002,0.302,17.3,0.013999999999999999,-15.1,21.0,-15.0,19.6,37.21,29.07,100,8005,82.54,29.2
2018-06-07 16:45:00,0.191,20.8,0.002,0.131,19.9,0.002,0.302,17.0,0.013999999999999999,-16.2,20.8,-16.4,19.1,36.87,29.45,100,8004,82.54,29.1
2018-06-07 17:00:00,0.191,20.5,0.002,0.131,19.2,0.002,0.302,16.8,0.013999999999999999,-17.3,20.6,-17.6,18.8,36.79,29.62,100,8007,82.54,29.0
2018-06-07 17:15:00,0.191,20.4,0.002,0.131,18.7,0.002,0.302,16.6,0.013999999999999999,-18.4,20.5,-18.4,18.5,37.34,29.65,100,8005,82.54,29.1
2018-06-07 17:30:00,0.191,20.3,0.002,0.131,18.3,0.002,0.302,16.4,0.013999999999999999,-19.4,20.4,-19.0,18.3,37.03,29.97,100,8008,82.54,29.2
2018-06-07 17:45:00,0.191,20.2,0.002,0.131,18.0,0.002,0.302,16.3,0.013999999999999999,-20.5,20.3,-20.0,18.1,35.79,30.07,100,8009,82.54,29.2
2018-06-07 18:00:00,0.191,20.1,0.002,0.131,17.8,0.002,0.302,16.2,0.013999999999999999,-22.2,20.3,-21.7,18.0,32.28,28.67,100,8007,82.54,28.8
2018-06-07 18:15:00,0.191,20.1,0.002,0.131,17.6,0.002,0.302,16.1,0.013999999999999999,-23.9,20.2,-23.6,17.8,28.11,27.55,100,8005,82.56,28.2
2018-06-07 18:30:00,0.191,20.0,0.002,0.131,17.5,0.002,0.303,16.0,0.013999999999999999,-25.7,20.2,-25.3,17.7,25.84,25.52,100,8007,82.57,27.0
2018-06-07 18:45:00,0.191,20.0,0.002,0.131,17.4,0.002,0.303,15.9,0.013999999999999999,-27.7,20.2,-27.1,17.6,27.26,25.3,100,8009,82.58,26.2
2018-06-07 19:00:00,0.191,20.0,0.002,0.131,17.3,0.002,0.303,15.8,0.013999999999999999,-30.0,20.2,-28.8,17.6,25.7,24.99,100,8007,82.58,25.8
