,Northwest,Northwest,Northwest,Northwest,North Center,North Center,North Center,North Center,South Center,South Center,South Center,South Center,Southeast,Southeast,Southeast,Southeast,Grace,Grace,Grace,Grace
,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,shallow,shallow,deep,deep
,Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%)
0,0.234963282,42.77,0.266685866,40.85,0.215774441,40.82,0.159587915,42.99,0.562341325,49.14,0.422668614,42.14,0.196336028,45.21,0.396278034,39.81,0.15715783161373498,50.6,0.249045118727156,51.31
1,0.232809126,42.75,0.270395836,40.83,0.213304491,40.79,0.16943378,43.0,0.538269783,49.12,0.422668614,42.14,0.197242274,45.2,0.420726628,39.79,0.15748611659996697,50.49,0.263467243680638,51.28
2,0.230144182,42.71,0.27542287,40.8,0.21232444600000003,40.76,0.16943378,42.96,0.535796658,49.08,0.424619564,42.13,0.184501542,45.18,0.432513831,39.75,0.152933117643133,50.37,0.270715941760182,51.22
3,0.231206479,42.65,0.286417797,40.78,0.21037784399999998,40.72,0.1733804,42.87,0.544502653,49.04,0.42657951899999996,42.1,0.175792361,45.16,0.43551187399999997,39.71,0.14989679978613799,50.23,0.272591226679184,51.16
4,0.24266101,42.58,0.29922646399999997,40.73,0.212813905,40.66,0.18407720000000002,42.84,0.559757601,48.98,0.42953642700000005,42.07,0.184926862,45.13,0.43651583200000005,39.64,0.15308296383597597,50.08,0.273222104388938,51.11
5,0.267300641,42.49,0.36559479200000006,40.67,0.223357222,40.58,0.20892961300000001,42.8,0.586138165,48.9,0.434510224,42.03,0.196788629,45.08,0.43151907700000003,39.56,0.15732169938463503,49.93,0.270096574946353,51.04
6,0.308318795,42.38,0.493173804,40.61,0.238231947,40.5,0.248885732,42.67,0.615176873,48.84,0.44463126700000005,41.99,0.220800473,45.03,0.423642966,39.48,0.16626486077209698,49.78,0.265242410445977,50.95
7,0.366437575,42.27,0.635330932,40.53,0.26181830100000003,40.42,0.315500462,42.57,0.645654229,48.77,0.458141887,41.94,0.251188643,44.97,0.443608644,39.39,0.17831531413502696,49.62,0.277720951165057,50.85
